ID link,in_mine,in_BauschFluck,in_Town,in_DiazRamos,in_daCunha
P01374,0,0,0,1,0
P01375,1,0,1,1,1
P01579,0,0,1,0,0
P01588,0,0,1,0,0
P01589,1,1,1,1,1
P01730,1,1,1,1,1
P01732,1,1,1,1,1
P01833,1,1,1,1,1
P01848,0,0,1,0,0
P01850,0,0,1,0,0
P01871,0,0,1,0,0
P01880,0,0,0,1,0
P01889,1,1,1,1,1
P01891,1,1,1,1,1
P01892,1,1,1,1,1
P01893,1,1,1,0,0
P01903,1,1,1,1,1
P01906,1,1,1,1,1
P01909,1,1,1,1,1
P01911,1,1,1,1,1
P01912,1,1,1,1,1
P01920,1,1,1,1,1
P02511,0,0,1,0,0
P02647,0,0,1,0,0
P02649,0,0,1,0,0
P02671,0,0,1,0,0
P02675,0,0,1,0,0
P02679,0,0,1,0,0
P02708,1,1,1,0,1
P02724,1,1,1,1,1
P02730,1,1,1,1,1
P02748,0,0,1,0,0
P02749,0,0,1,0,0
P02760,0,0,1,0,0
P02778,0,0,1,0,0
P02786,1,0,1,1,1
P02787,0,0,1,0,0
P03886,0,0,1,0,0
P03915,0,0,1,0,0
P03923,0,0,1,0,0
P03928,0,0,1,0,0
P03971,0,0,1,0,0
P03986,0,1,1,0,0
P03989,1,1,1,1,1
P03999,1,1,1,0,1
P04000,1,1,1,0,1
P04001,1,1,1,0,1
P04035,0,0,1,0,0
P04054,0,0,1,0,0
P04083,0,0,1,0,0
P04085,0,0,1,0,0
P04156,1,1,1,1,1
P04180,0,0,0,0,1
P04201,1,1,1,0,1
P04216,1,1,1,1,0
P04222,1,1,1,1,1
P04229,1,1,1,1,1
P04233,1,1,1,1,1
P04234,1,1,1,1,0
P04275,0,0,1,0,0
P04439,1,1,1,1,1
P04440,1,1,1,1,1
P04626,1,1,1,1,1
P04628,0,0,1,0,0
P04629,1,1,1,1,1
P04839,1,1,0,0,0
P04843,0,1,1,0,0
P04844,0,0,1,0,1
P04920,1,0,1,0,1
P04921,1,1,1,1,1
P05023,1,1,1,1,1
P05026,1,1,1,1,1
P05067,1,1,1,0,1
P05106,1,1,1,1,1
P05107,1,1,1,1,1
P05112,0,0,1,0,0
P05141,0,0,1,0,1
P05154,0,0,1,0,0
P05186,1,1,0,0,0
P05187,1,1,1,0,0
P05231,0,0,1,0,0
P05362,1,1,1,1,1
P05496,0,0,1,0,0
P05534,1,1,1,1,1
P05538,1,1,1,0,0
P05556,1,1,1,1,1
P05981,1,0,1,0,0
P06028,1,0,1,1,1
P06126,1,1,1,1,1
P06127,1,1,1,1,1
P06133,0,0,1,0,0
P06213,1,1,1,1,1
P06276,0,0,0,0,1
P06340,1,1,1,1,1
